trampa_ID_unico,mean_temp,mean_hum,fecha_puesta,fecha_recogida,dias_monitoreo,periodo_monitoreo,monitoreo,tipo_trampa,marca_trampa,ubicacion
18,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.central
34,21.35374149659864,39.63265306122449,2019-02-11,2019-09-11,212,feb2019-sep2019,interv3,Adhesiva.luz,Luz UV,Zona.central
65,22.484126984126984,30.08730158730159,2021-01-22,2021-04-22,90,ene-abr2021,interv9,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
66,22.484126984126984,30.08730158730159,2021-01-22,2021-04-22,90,ene-abr2021,interv9,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
69,22.484126984126984,30.08730158730159,2021-01-22,2021-04-22,90,ene-abr2021,interv9,Adhesiva.suelo,Gluee Louee,Zona.entrada
71,22.484126984126984,30.08730158730159,2021-01-22,2021-04-22,90,ene-abr2021,interv9,Adhesiva.suelo,Gluee Louee,Zona.entrada
1,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
2,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
3,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.ampliacion
4,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.central
6,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.entrada
7,20.42105263157895,48.66447368421053,2017-05-11,2017-12-11,214,may-dic-2017,interv0,Adhesiva.suelo,Insect Monitor,Zona.entrada
9,21.14666666666667,40.60666666666667,2017-12-11,2018-07-11,212,dic2017-jul2018,interv1,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
10,21.14666666666667,40.60666666666667,2017-12-11,2018-07-11,212,dic2017-jul2018,interv1,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
16,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
17,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.central
19,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.entrada
20,21.393333333333334,36.67333333333333,2018-07-11,2019-02-11,215,jul2018-feb2019,interv2,Adhesiva.suelo,Gluee Louee,Zona.entrada
29,22.4,36.18888888888889,2019-02-11,2020-01-20,343,feb2019-ene2020,interv4,Adhesiva.mueble,Amarillas voladores,Zona.ampliacion
11,21.14666666666667,40.60666666666667,2017-12-11,2018-07-11,212,dic2017-jul2018,interv1,Adhesiva.suelo,Gluee Louee,Zona.central
36,23.169811320754718,30.39622641509434,2020-01-20,2020-04-19,90,ene-abr2020,interv5,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
42,22.954545454545453,33,2020-04-19,2020-07-22,94,abr-jul2020,interv6,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
43,22.954545454545453,33,2020-04-19,2020-07-22,94,abr-jul2020,interv6,Adhesiva.suelo,Gluee Louee,Zona.ampliacion
