fecha,dia,Temp_entrada,Temp_ZA,Humedad_entrada,Humedad_ZA,meses,meses_nombre,dias_num,year,monitoring_interval,temp_avg,humi_avg
2017-05-11,Jueves,20,NA,53,NA,5,May,11,2017,interv0,20,53
2017-05-12,Viernes,20,NA,50,NA,5,May,12,2017,interv0,20,50
2017-05-15,Lunes,21,NA,49,NA,5,May,15,2017,interv0,21,49
2017-05-16,Martes,22,NA,41,NA,5,May,16,2017,interv0,22,41
2017-05-17,Miercoles,22,NA,50,NA,5,May,17,2017,interv0,22,50
2017-05-18,Jueves,22,NA,51,NA,5,May,18,2017,interv0,22,51
2017-05-19,Viernes,21,NA,49,NA,5,May,19,2017,interv0,21,49
2017-05-22,Lunes,20,NA,50,NA,5,May,22,2017,interv0,20,50
2017-05-23,Martes,20,NA,50,NA,5,May,23,2017,interv0,20,50
2017-05-24,Miercoles,21,NA,48,NA,5,May,24,2017,interv0,21,48
2017-05-25,Jueves,23,NA,53,NA,5,May,25,2017,interv0,23,53
2017-05-26,Viernes,20,NA,50,NA,5,May,26,2017,interv0,20,50
2017-05-29,Lunes,21,NA,49,NA,5,May,29,2017,interv0,21,49
2017-05-30,Martes,20,NA,51,NA,5,May,30,2017,interv0,20,51
2017-05-31,Miercoles,21,NA,48,NA,5,May,31,2017,interv0,21,48
2017-06-01,Jueves,22,NA,53,NA,6,Jun,1,2017,interv0,22,53
2017-06-02,Viernes,21,NA,51,NA,6,Jun,2,2017,interv0,21,51
2017-06-05,Lunes,21,NA,50,NA,6,Jun,5,2017,interv0,21,50
2017-06-06,Martes,22,NA,49,NA,6,Jun,6,2017,interv0,22,49
2017-06-07,Miercoles,21,NA,47,NA,6,Jun,7,2017,interv0,21,47
2017-06-08,Jueves,22,NA,50,NA,6,Jun,8,2017,interv0,22,50
2017-06-09,Viernes,22,NA,53,NA,6,Jun,9,2017,interv0,22,53
2017-06-12,Lunes,22,NA,48,NA,6,Jun,12,2017,interv0,22,48
2017-06-13,Martes,21,NA,49,NA,6,Jun,13,2017,interv0,21,49
2017-06-14,Miercoles,22,NA,53,NA,6,Jun,14,2017,interv0,22,53
2017-06-15,Jueves,24,NA,51,NA,6,Jun,15,2017,interv0,24,51
2017-06-16,Viernes,23,NA,53,NA,6,Jun,16,2017,interv0,23,53
2017-06-19,Lunes,22,NA,54,NA,6,Jun,19,2017,interv0,22,54
2017-06-20,Martes,21,NA,55,NA,6,Jun,20,2017,interv0,21,55
2017-06-21,Miercoles,23,NA,50,NA,6,Jun,21,2017,interv0,23,50
2017-06-22,Jueves,22,NA,52,NA,6,Jun,22,2017,interv0,22,52
2017-06-23,Viernes,21,NA,51,NA,6,Jun,23,2017,interv0,21,51
2017-06-26,Lunes,19,NA,50,NA,6,Jun,26,2017,interv0,19,50
2017-06-27,Martes,18,NA,53,NA,6,Jun,27,2017,interv0,18,53
2017-06-28,Miercoles,18,NA,53,NA,6,Jun,28,2017,interv0,18,53
2017-06-29,Jueves,19,NA,52,NA,6,Jun,29,2017,interv0,19,52
2017-06-30,Viernes,20,NA,56,NA,6,Jun,30,2017,interv0,20,56
2017-07-03,Lunes,21,NA,53,NA,7,Jul,3,2017,interv0,21,53
2017-07-04,Martes,21,NA,54,NA,7,Jul,4,2017,interv0,21,54
2017-07-05,Miercoles,22,NA,49,NA,7,Jul,5,2017,interv0,22,49
2017-07-06,Jueves,21,NA,48,NA,7,Jul,6,2017,interv0,21,48
2017-07-07,Viernes,22,NA,46,NA,7,Jul,7,2017,interv0,22,46
2017-07-10,Lunes,20,NA,53,NA,7,Jul,10,2017,interv0,20,53
2017-07-11,Martes,20,NA,51,NA,7,Jul,11,2017,interv0,20,51
2017-07-12,Miercoles,18,NA,50,NA,7,Jul,12,2017,interv0,18,50
2017-07-13,Jueves,18,NA,49,NA,7,Jul,13,2017,interv0,18,49
2017-07-14,Viernes,19,NA,49,NA,7,Jul,14,2017,interv0,19,49
2017-07-17,Lunes,17,NA,48,NA,7,Jul,17,2017,interv0,17,48
2017-07-18,Martes,18,NA,52,NA,7,Jul,18,2017,interv0,18,52
2017-07-19,Miercoles,18,NA,53,NA,7,Jul,19,2017,interv0,18,53
2017-07-20,Jueves,22,NA,55,NA,7,Jul,20,2017,interv0,22,55
2017-07-21,Viernes,21,NA,55,NA,7,Jul,21,2017,interv0,21,55
2017-07-24,Lunes,22,NA,56,NA,7,Jul,24,2017,interv0,22,56
2017-07-25,Martes,20,NA,54,NA,7,Jul,25,2017,interv0,20,54
2017-07-26,Miercoles,21,NA,48,NA,7,Jul,26,2017,interv0,21,48
2017-07-27,Jueves,18,NA,50,NA,7,Jul,27,2017,interv0,18,50
2017-07-28,Viernes,19,NA,49,NA,7,Jul,28,2017,interv0,19,49
2017-07-31,Lunes,19,NA,52,NA,7,Jul,31,2017,interv0,19,52
2017-08-01,Martes,18,NA,51,NA,8,Aug,1,2017,interv0,18,51
2017-08-02,Miercoles,19,NA,50,NA,8,Aug,2,2017,interv0,19,50
2017-08-03,Jueves,20,NA,48,NA,8,Aug,3,2017,interv0,20,48
2017-08-04,Viernes,20,NA,45,NA,8,Aug,4,2017,interv0,20,45
2017-08-07,Lunes,19,NA,45,NA,8,Aug,7,2017,interv0,19,45
2017-08-08,Martes,19,NA,46,NA,8,Aug,8,2017,interv0,19,46
2017-08-09,Miercoles,19,NA,46,NA,8,Aug,9,2017,interv0,19,46
2017-08-10,Jueves,19,NA,48,NA,8,Aug,10,2017,interv0,19,48
2017-08-11,Viernes,20,NA,50,NA,8,Aug,11,2017,interv0,20,50
2017-08-14,Lunes,22,NA,48,NA,8,Aug,14,2017,interv0,22,48
2017-08-15,Martes,21,NA,50,NA,8,Aug,15,2017,interv0,21,50
2017-08-16,Miercoles,19,NA,49,NA,8,Aug,16,2017,interv0,19,49
2017-08-17,Jueves,20,NA,52,NA,8,Aug,17,2017,interv0,20,52
2017-08-18,Viernes,22,NA,48,NA,8,Aug,18,2017,interv0,22,48
2017-08-21,Lunes,17,NA,42,NA,8,Aug,21,2017,interv0,17,42
2017-08-22,Martes,17,NA,45,NA,8,Aug,22,2017,interv0,17,45
2017-08-23,Miercoles,20,NA,46,NA,8,Aug,23,2017,interv0,20,46
2017-08-24,Jueves,22,NA,46,NA,8,Aug,24,2017,interv0,22,46
2017-08-25,Viernes,20,NA,37,NA,8,Aug,25,2017,interv0,20,37
2017-08-28,Lunes,21,NA,48,NA,8,Aug,28,2017,interv0,21,48
2017-08-29,Martes,20,NA,53,NA,8,Aug,29,2017,interv0,20,53
2017-08-30,Miercoles,22,NA,49,NA,8,Aug,30,2017,interv0,22,49
2017-08-31,Jueves,21,NA,50,NA,8,Aug,31,2017,interv0,21,50
2017-09-01,Viernes,20,NA,48,NA,9,Sep,1,2017,interv0,20,48
2017-09-04,Lunes,19,NA,50,NA,9,Sep,4,2017,interv0,19,50
2017-09-05,Martes,20,NA,51,NA,9,Sep,5,2017,interv0,20,51
2017-09-06,Miercoles,20,NA,48,NA,9,Sep,6,2017,interv0,20,48
2017-09-07,Jueves,21,NA,47,NA,9,Sep,7,2017,interv0,21,47
2017-09-08,Viernes,20,NA,51,NA,9,Sep,8,2017,interv0,20,51
2017-09-11,Lunes,21,NA,50,NA,9,Sep,11,2017,interv0,21,50
2017-09-12,Martes,22,NA,48,NA,9,Sep,12,2017,interv0,22,48
2017-09-13,Miercoles,20,NA,48,NA,9,Sep,13,2017,interv0,20,48
2017-09-14,Jueves,21,NA,53,NA,9,Sep,14,2017,interv0,21,53
2017-09-15,Viernes,20,NA,49,NA,9,Sep,15,2017,interv0,20,49
2017-09-18,Lunes,19,NA,50,NA,9,Sep,18,2017,interv0,19,50
2017-09-19,Martes,20,NA,51,NA,9,Sep,19,2017,interv0,20,51
2017-09-20,Miercoles,22,NA,48,NA,9,Sep,20,2017,interv0,22,48
2017-09-21,Jueves,22,NA,53,NA,9,Sep,21,2017,interv0,22,53
2017-09-22,Viernes,20,NA,51,NA,9,Sep,22,2017,interv0,20,51
2017-09-25,Lunes,20,NA,52,NA,9,Sep,25,2017,interv0,20,52
2017-09-26,Martes,21,NA,48,NA,9,Sep,26,2017,interv0,21,48
2017-09-27,Miercoles,19,NA,61,NA,9,Sep,27,2017,interv0,19,61
2017-09-28,Jueves,20,NA,54,NA,9,Sep,28,2017,interv0,20,54
2017-09-29,Viernes,16,NA,41,NA,9,Sep,29,2017,interv0,16,41
2017-10-02,Lunes,20,NA,49,NA,10,Oct,2,2017,interv0,20,49
