"","especie","total_bugs"
"1","Acari incertae sedis",11
"2","Blattidae incertae sedis",1
"3","Blattodea incertae sedis",5
"4","Cyclophora impudens",1
"5","Epipsocus sp",2
"6","Holocompsa nitidula",3
"7","Lachesilla sp.",63
"8","Lasioderma serricorne",7
"9","Lepidopsocidae incertae sedis",9
"10","Liposcelididae incertae sedis",42
"11","Liposcelis entomophila",15
"12","Megaselia scalaris",2
"13","Megaselia sp.",57
"14","Monomorium floricola",16
"15","Periplaneta americana",3
"16","Periplaneta australiasea",7
"17","Periplaneta sp.",3
"18","Phalacrus darwini",2
"19","Psocoptera incertae sedis",1
"20","Psycnoscelus surinamensis",27
"21","Sciara sp.",3
"22","Tapinoma melanocephalum",21
